model,dataset,run,timestamp,train_accuracy,test_accuracy,test_log_loss,test_brier_score,test_roc_auc,generalization_gap,train_time_seconds
logistic,kaggle,1,2025-11-20T02:31:50.502240,0.6916421427100765,0.6949304704236166,0.5843240782102506,0.19955065691882742,0.7595195412500316,-0.00328832771354004,0.43551063537597656
logistic,kaggle,2,2025-11-20T02:31:54.725987,0.693099193959105,0.6891023259270268,0.5884701641984104,0.20161350454283591,0.7536392426333727,0.003996868032078216,0.4210848808288574
logistic,kaggle,3,2025-11-20T02:31:58.882936,0.6923307902927979,0.692176154246487,0.586821901746138,0.20071813702983848,0.7562560602617008,0.00015463604631082983,0.4212918281555176
logistic,kaggle,4,2025-11-20T02:32:02.905117,0.6918554458447952,0.6940826015452881,0.5854244645398584,0.20003353899376375,0.7581169829893691,-0.002227155700492922,0.4061250686645508
logistic,kaggle,5,2025-11-20T02:32:06.867480,0.693890664288457,0.6859426916722869,0.5928309533982961,0.20342646922983756,0.7489113945170269,0.007947972616170085,0.40094900131225586
random_forest,kaggle,1,2025-11-20T02:32:37.449821,0.7352953014627682,0.6799255792067561,0.6101716005771816,0.20828512865442228,0.7402048912536914,0.05536972225601211,15.508967161178589
random_forest,kaggle,2,2025-11-20T02:33:09.679224,0.7359801980504553,0.6762372742810433,0.6159342884964844,0.21032982588131455,0.735544465584785,0.05974292376941204,15.571432828903198
random_forest,kaggle,3,2025-11-20T02:33:41.914331,0.735844953465299,0.6769658744516864,0.6136434924450322,0.2095163764193606,0.73735668299503,0.058879079013612556,15.780869722366333
random_forest,kaggle,4,2025-11-20T02:34:13.752186,0.7362929452646106,0.6783473484966023,0.6120820768653036,0.20903583260328965,0.7387320096312047,0.05794559676800837,15.408265829086304
random_forest,kaggle,5,2025-11-20T02:34:45.377435,0.7370081007766341,0.6718971395335886,0.6207026660217467,0.212553299849859,0.7305306180325816,0.0651109612430455,15.376349925994873
knn,kaggle,1,2025-11-20T03:25:11.646967,0.7104805663447203,0.6506804363708409,2.254739138229461,0.23670728234084976,0.6961030069210483,0.0598001299738794,0.211669921875
knn,kaggle,2,2025-11-20T04:36:15.767352,0.7123051655038646,0.6495442272918679,2.3401254390670903,0.23880508285650598,0.6931236936540804,0.06276093821199669,0.30251407623291016
knn,kaggle,3,2025-11-20T05:47:16.660206,0.7116342169741378,0.6498166092537979,2.3263665889375904,0.2384828133131769,0.6934920108714059,0.06181760772033984,0.29805612564086914
knn,kaggle,4,2025-11-20T10:09:20.079958,0.7111307256484917,0.6498246811679648,2.389058955840767,0.23856133056133058,0.6944493645801486,0.0613060444805269,0.3347897529602051
knn,kaggle,5,2025-11-20T10:45:41.875234,0.7135163130318457,0.6462933973530013,2.414998117984623,0.24113540036011064,0.6895283229282368,0.06722291567884442,0.2135920524597168
mlp,kaggle,1,2025-11-20T10:46:59.073496,0.6921104328858905,0.6950171502160803,0.5804991817071037,0.1980857632144727,0.7629449788177236,-0.0029067173301898785,65.79344177246094
mlp,kaggle,2,2025-11-20T10:47:47.437618,0.6934978026213744,0.6896163087364693,0.5853651551661027,0.20037770425291182,0.7569305862606012,0.0038814938849051073,41.58532691001892
mlp,kaggle,3,2025-11-20T10:48:57.843679,0.6926024297413467,0.6927616415950039,0.5831416384612397,0.19930669584132785,0.7596329766052032,-0.00015921185365719293,63.55899691581726
mlp,kaggle,4,2025-11-20T10:50:10.393157,0.6923729705142447,0.6941694852142614,0.5814424755142207,0.1985067321602516,0.7618314297431141,-0.001796514700016627,66.09788489341736
mlp,kaggle,5,2025-11-20T10:51:05.827425,0.6942839359369775,0.6861221282414598,0.590383939640624,0.20247441004863728,0.7522575330125489,0.008161807695517664,48.25066018104553
logistic,esta,1,2025-11-20T10:51:06.333486,0.7461278207157712,0.7536023054755043,0.49719644794086343,0.16546276209536864,0.8359363417950987,-0.007474484759733113,0.2000586986541748
logistic,esta,2,2025-11-20T10:51:06.789171,0.7421560990808537,0.770455386893743,0.4864259098394523,0.16000365803981334,0.8464494427531964,-0.028299287812889373,0.17736124992370605
logistic,esta,3,2025-11-20T10:51:07.311162,0.7495556456390907,0.7379136425144545,0.509956274363476,0.17168170937132207,0.8229643989076924,0.011642003124636258,0.20415210723876953
logistic,esta,4,2025-11-20T10:51:07.885152,0.7395338733202992,0.7796865203761756,0.46655798530929643,0.15216041916487308,0.8629126364717328,-0.0401526470558764,0.19418787956237793
logistic,esta,5,2025-11-20T10:51:08.334637,0.7459952098043485,0.7537582308361287,0.49304707372177736,0.16413224561677545,0.8386485768826702,-0.007763021031780171,0.1696619987487793
random_forest,esta,1,2025-11-20T10:51:13.799661,0.9764875686749231,0.7492168901140208,0.4963375586864036,0.16630684511041416,0.8340236187119072,0.22727067856090233,4.524217128753662
random_forest,esta,2,2025-11-20T10:51:18.863710,0.9751051565664434,0.7613846723435764,0.4953268322323512,0.16316793056148532,0.8411072643954428,0.21372048422286694,3.991636037826538
random_forest,esta,3,2025-11-20T10:51:23.990272,0.9780941095762262,0.7237052527986222,0.5210234023457273,0.17657259838688602,0.8121401546331852,0.25438885677760403,4.064202070236206
random_forest,esta,4,2025-11-20T10:51:29.426666,0.9746299227260031,0.7689028213166145,0.4876137978874082,0.15745623648243184,0.8532206955513408,0.20572710140938866,4.182074069976807
random_forest,esta,5,2025-11-20T10:51:34.879022,0.975038103829046,0.7481674742204001,0.49637465013494725,0.16577077864547224,0.834864951056627,0.2268706296086459,4.260585308074951
knn,esta,1,2025-11-20T10:51:47.345041,0.8010987987708352,0.7212755293822829,1.9836303480894832,0.19390803157499062,0.7885664614341157,0.07982326938855233,0.011945962905883789
knn,esta,2,2025-11-20T10:51:58.952766,0.8000467362517526,0.719918548685672,1.83400323721056,0.1932963100086388,0.7870464937811886,0.08012818756608064,0.0169980525970459
knn,esta,3,2025-11-20T10:52:11.025747,0.8038448345754466,0.6945503751999016,1.9877564253036386,0.20723336203715098,0.7615129368978124,0.10929445937554505,0.024049997329711914
knn,esta,4,2025-11-20T10:52:22.876966,0.7973342022778761,0.7253918495297805,1.678344279989588,0.18872476489028214,0.7939684633602264,0.07194235274809557,0.02542901039123535
knn,esta,5,2025-11-20T10:52:34.765086,0.800475909048493,0.7170455957261772,1.7782255043797048,0.19386259162628902,0.7850198994693347,0.08343031332231576,0.016564130783081055
mlp,esta,1,2025-11-20T10:52:38.222871,0.7479436322438464,0.7539781982207744,0.48569775465187764,0.16226905665323904,0.8426048703159038,-0.006034565976927975,2.8542418479919434
mlp,esta,2,2025-11-20T10:52:43.887487,0.7485745443215455,0.7629890164136739,0.4829630261605079,0.16039386717029475,0.8464938086032252,-0.014414472092128428,5.286215782165527
mlp,esta,3,2025-11-20T10:52:48.952731,0.757351336181359,0.726473120925083,0.5163514916713888,0.1752694130523298,0.815576698173978,0.030878215256275987,4.7153589725494385
mlp,esta,4,2025-11-20T10:52:52.643080,0.7434906743630326,0.7752978056426332,0.4641721855055255,0.15266472806579248,0.8609417596132114,-0.03180713127960055,3.3427350521087646
mlp,esta,5,2025-11-20T10:52:55.464356,0.7465706553858595,0.7554354578208473,0.4870492690609533,0.16244316614574336,0.8416845535222739,-0.008864802434987773,2.4640982151031494
logistic,combined,1,2025-11-20T10:53:03.331868,0.694536130824912,0.695979203385934,0.5834182160040673,0.1991843023831264,0.7602977945887044,-0.0014430725610220518,1.8077869415283203
logistic,combined,2,2025-11-20T10:53:10.851798,0.6964348936973723,0.6883300059480693,0.5917216542457469,0.20277568522861442,0.7508400203707294,0.008104887749303069,2.027545928955078
logistic,combined,3,2025-11-20T10:53:18.251851,0.6951476062359488,0.693438005597742,0.5842553266660306,0.19975812068733884,0.758641363892245,0.0017096006382067985,1.943131923675537
logistic,combined,4,2025-11-20T10:53:25.792247,0.6952402436273404,0.6930826890161128,0.5865011542952593,0.20052116005402557,0.7568454184086907,0.0021575546112275745,2.0218100547790527
logistic,combined,5,2025-11-20T10:53:33.266365,0.6944414130361045,0.6962669449800405,0.5808010262858659,0.1982430687519773,0.7625817385494138,-0.0018255319439359763,1.8364808559417725
