Model,Dataset,Test Acc,Gen. Gap,Log Loss,ROC AUC,Status
Logistic,Kaggle,0.6912 ± 0.0037,0.0013 ± 0.0046,0.5876 ± 0.0033,0.7553 ± 0.0042,Good Gen.
Logistic,Esta,0.7591 ± 0.0163,-0.0144 ± 0.0202,0.4906 ± 0.0160,0.8414 ± 0.0147,Good Gen.
Logistic,Combined,0.6934 ± 0.0032,0.0017 ± 0.0040,0.5853 ± 0.0041,0.7578 ± 0.0044,Good Gen.
Random Forest,Kaggle,0.6767 ± 0.0030,0.0594 ± 0.0036,0.6145 ± 0.0041,0.7365 ± 0.0037,Good Gen.
Random Forest,Esta,0.7503 ± 0.0172,0.2256 ± 0.0185,0.4993 ± 0.0127,0.8351 ± 0.0149,OVERFITTING
Random Forest,Combined,0.6893 ± 0.0032,0.0384 ± 0.0040,0.5913 ± 0.0045,0.7537 ± 0.0041,Good Gen.
Knn,Kaggle,0.6492 ± 0.0017,0.0626 ± 0.0028,2.3451 ± 0.0620,0.6933 ± 0.0024,Good Gen.
Knn,Esta,0.7156 ± 0.0122,0.0849 ± 0.0143,1.8524 ± 0.1339,0.7832 ± 0.0126,Good Gen.
Knn,Combined,0.6502 ± 0.0020,0.0656 ± 0.0028,2.3206 ± 0.0441,0.6954 ± 0.0029,Good Gen.
Mlp,Kaggle,0.6915 ± 0.0037,0.0014 ± 0.0046,0.5842 ± 0.0039,0.7587 ± 0.0043,Good Gen.
Mlp,Esta,0.7548 ± 0.0180,-0.0060 ± 0.0229,0.4872 ± 0.0187,0.8415 ± 0.0164,Good Gen.
Mlp,Combined,0.6936 ± 0.0029,0.0021 ± 0.0037,0.5814 ± 0.0039,0.7613 ± 0.0042,Good Gen.
