Feature Set,Round,Accuracy,Log Loss,Num Features
Score Only,5,0.6169221520889691,0.6529949425619447,4
Score Only,10,0.6744815148782687,0.6086547014237186,4
Score Only,15,0.7078449053201082,0.5689921978324846,4
Score Only,20,0.7329868442423259,0.539943596307162,4
Score Only,30,0.6793214862681745,0.6577824915957862,4
Score + Economy,5,0.6209798617373009,0.6512458575464187,8
Score + Economy,10,0.6759092275323114,0.6073463139781393,8
Score + Economy,15,0.7064171926660655,0.567858025252535,8
Score + Economy,20,0.7326620107195062,0.5388499171162794,8
Score + Economy,30,0.6793214862681745,0.6542756820951483,8
Score + Combat,5,0.6172227231740307,0.6523475599828796,8
Score + Combat,10,0.673429516080553,0.608263301368854,8
Score + Combat,15,0.7084460474902314,0.5681988084134977,8
Score + Combat,20,0.7337177196686698,0.5382131043371358,8
Score + Combat,30,0.678513731825525,0.6536714200454479,8
Complete Feature Set,5,0.6336038473098888,0.641267977087018,19
Complete Feature Set,10,0.6854523594830177,0.5986946921078751,19
Complete Feature Set,15,0.7128794709948902,0.5638503792044423,19
Complete Feature Set,20,0.7414325158356342,0.5281445679518739,19
Complete Feature Set,30,0.6801292407108239,0.6117814384303076,19
