Feature Set,Round,Accuracy,Log Loss,Num Features
Score Only,5,0.7019230769230769,0.5970511531501461,4
Score Only,10,0.7845659163987139,0.5015629004535239,4
Score Only,15,0.8006430868167203,0.43251992692963287,4
Score Only,20,0.8127090301003345,0.3876232002529474,4
Score Only,30,0.7540983606557377,0.621834949488399,4
Score + Economy,5,0.7163461538461539,0.5908256517165146,8
Score + Economy,10,0.7781350482315113,0.5026974506006052,8
Score + Economy,15,0.7909967845659164,0.43347609313399466,8
Score + Economy,20,0.8127090301003345,0.3886574355656204,8
Score + Economy,30,0.7540983606557377,0.6138060014553558,8
Score + Combat,5,0.7003205128205128,0.5952448889152042,8
Score + Combat,10,0.7733118971061094,0.4892139052393366,8
Score + Combat,15,0.797427652733119,0.4256511663476017,8
Score + Combat,20,0.8361204013377926,0.37647624390220275,8
Score + Combat,30,0.860655737704918,0.5050454655207305,8
Complete Feature Set,5,0.7147435897435898,0.5916105403147925,19
Complete Feature Set,10,0.77491961414791,0.4837274289697078,19
Complete Feature Set,15,0.8022508038585209,0.42507321825168737,19
Complete Feature Set,20,0.8260869565217391,0.37439366002044694,19
Complete Feature Set,30,0.8032786885245902,0.4595471174171389,19
