Feature Set,Round,Accuracy,Log Loss,Num Features
Score Only,5,0.6192052980132451,0.6551463896667705,4
Score Only,10,0.6723431094292022,0.6095155036750813,4
Score Only,15,0.706717123935667,0.5699434718486727,4
Score Only,20,0.7293515358361775,0.5472065247205345,4
Score Only,30,0.6747694886839899,0.6597629907851562,4
Score + Economy,5,0.6222800378429517,0.6535669700942812,8
Score + Economy,10,0.6766792809839167,0.6072383429554322,8
Score + Economy,15,0.7055345316934721,0.5697427719855201,8
Score + Economy,20,0.7301194539249147,0.5456709794538607,8
Score + Economy,30,0.6743503772003353,0.6564633516780349,8
Score + Combat,5,0.6192052980132451,0.6551463896667705,8
Score + Combat,10,0.6723431094292022,0.6095155036750813,8
Score + Combat,15,0.706717123935667,0.5699434718486727,8
Score + Combat,20,0.7293515358361775,0.5472065247205345,8
Score + Combat,30,0.6747694886839899,0.6597629907851562,8
Complete Feature Set,5,0.6281929990539262,0.6442653596359114,19
Complete Feature Set,10,0.6885840428886787,0.594960284462519,19
Complete Feature Set,15,0.7116051718700726,0.5657972766108254,19
Complete Feature Set,20,0.7375426621160409,0.538066025996362,19
Complete Feature Set,30,0.6823134953897737,0.6133392219397675,19
