Model,Round,Accuracy,Log Loss,Brier,ROC-AUC,Samples
Logistic Regression,3,0.6102,0.6645,0.2358,0.6397,13308
Logistic Regression,5,0.6322,0.6416,0.2251,0.6817,13308
Logistic Regression,10,0.6857,0.5991,0.2057,0.7431,13308
Logistic Regression,15,0.7131,0.5651,0.1915,0.7797,13308
Logistic Regression,20,0.7412,0.5272,0.1753,0.8154,12314
Logistic Regression,25,0.7292,0.5525,0.1847,0.8014,8316
Logistic Regression,30,0.6793,0.6123,0.2106,0.7668,2476
Random Forest,3,0.6341,0.6389,0.2241,0.6864,13308
Random Forest,5,0.6681,0.6115,0.2118,0.7261,13308
Random Forest,10,0.7091,0.5577,0.1892,0.7852,13308
Random Forest,15,0.7399,0.5127,0.1717,0.8242,13308
Random Forest,20,0.7673,0.4752,0.1563,0.8543,12314
Random Forest,25,0.7674,0.4855,0.1583,0.8503,8316
Random Forest,30,0.7758,0.4723,0.1556,0.8570,2476
k-Nearest Neighbors,3,0.5929,1.6308,0.2541,0.6284,13308
k-Nearest Neighbors,5,0.6454,1.6821,0.2320,0.6903,13308
k-Nearest Neighbors,10,0.6980,1.2631,0.2000,0.7626,13308
k-Nearest Neighbors,15,0.7282,1.2035,0.1832,0.7989,13308
k-Nearest Neighbors,20,0.7617,1.0973,0.1643,0.8360,12314
k-Nearest Neighbors,25,0.7548,1.1870,0.1694,0.8265,8316
k-Nearest Neighbors,30,0.7427,1.2994,0.1761,0.8145,2476
Multi-Layer Perceptron,3,0.6100,0.6626,0.2349,0.6402,13308
Multi-Layer Perceptron,5,0.6350,0.6413,0.2249,0.6831,13308
Multi-Layer Perceptron,10,0.6839,0.5974,0.2052,0.7446,13308
Multi-Layer Perceptron,15,0.7108,0.5622,0.1906,0.7819,13308
Multi-Layer Perceptron,20,0.7420,0.5267,0.1752,0.8154,12314
Multi-Layer Perceptron,25,0.7318,0.5427,0.1813,0.8025,8316
Multi-Layer Perceptron,30,0.6805,0.5635,0.1907,0.7740,2476
