Model,Round,Accuracy,Log Loss,Brier,ROC-AUC,Samples
Logistic Regression,3,0.6747,0.6292,0.2180,0.6992,624
Logistic Regression,5,0.7212,0.5869,0.1991,0.7591,624
Logistic Regression,10,0.7830,0.4698,0.1514,0.8625,622
Logistic Regression,15,0.8119,0.4160,0.1346,0.8919,622
Logistic Regression,20,0.8328,0.3622,0.1155,0.9224,598
Logistic Regression,25,0.8439,0.3945,0.1219,0.9191,410
Logistic Regression,30,0.8033,0.4613,0.1451,0.9325,122
Random Forest,3,0.8830,0.4113,0.1207,0.9503,624
Random Forest,5,0.9022,0.3627,0.1024,0.9644,624
Random Forest,10,0.9518,0.2768,0.0725,0.9879,622
Random Forest,15,0.9614,0.2282,0.0586,0.9923,622
Random Forest,20,0.9615,0.1740,0.0439,0.9914,598
Random Forest,25,0.9537,0.1695,0.0419,0.9862,410
Random Forest,30,0.9426,0.1590,0.0439,0.9911,122
k-Nearest Neighbors,3,0.7131,1.0899,0.1912,0.7780,624
k-Nearest Neighbors,5,0.7179,0.7334,0.1807,0.7980,624
k-Nearest Neighbors,10,0.7814,0.5392,0.1462,0.8671,622
k-Nearest Neighbors,15,0.8167,0.6499,0.1289,0.8958,622
k-Nearest Neighbors,20,0.8579,0.5793,0.1019,0.9328,598
k-Nearest Neighbors,25,0.8683,0.8001,0.1060,0.9255,410
k-Nearest Neighbors,30,0.8115,0.6463,0.1295,0.8934,122
Multi-Layer Perceptron,3,0.6859,0.6226,0.2148,0.7094,624
Multi-Layer Perceptron,5,0.7163,0.5825,0.1974,0.7664,624
Multi-Layer Perceptron,10,0.7781,0.4782,0.1546,0.8604,622
Multi-Layer Perceptron,15,0.7958,0.4131,0.1352,0.8910,622
Multi-Layer Perceptron,20,0.8378,0.3442,0.1122,0.9259,598
Multi-Layer Perceptron,25,0.8317,0.3659,0.1165,0.9184,410
Multi-Layer Perceptron,30,0.7951,0.3696,0.1197,0.9188,122
