Model,Round,Accuracy,Log Loss,Brier,ROC-AUC,Samples
Logistic Regression,3,0.6108,0.6656,0.2363,0.6375,12684
Logistic Regression,5,0.6282,0.6454,0.2268,0.6778,12684
Logistic Regression,10,0.6886,0.5954,0.2042,0.7474,12684
Logistic Regression,15,0.7116,0.5674,0.1918,0.7798,12684
Logistic Regression,20,0.7375,0.5375,0.1789,0.8072,11720
Logistic Regression,25,0.7294,0.5645,0.1898,0.7895,7858
Logistic Regression,30,0.6823,0.6139,0.2113,0.7751,2386
Random Forest,3,0.6418,0.6327,0.2215,0.6935,12684
Random Forest,5,0.6823,0.5940,0.2042,0.7484,12684
Random Forest,10,0.7328,0.5251,0.1760,0.8170,12684
Random Forest,15,0.7622,0.4750,0.1572,0.8545,12684
Random Forest,20,0.7867,0.4373,0.1428,0.8797,11720
Random Forest,25,0.7756,0.4567,0.1500,0.8665,7858
Random Forest,30,0.7925,0.4351,0.1414,0.8846,2386
k-Nearest Neighbors,3,0.5944,1.4680,0.2537,0.6263,12684
k-Nearest Neighbors,5,0.6522,1.3597,0.2248,0.7029,12684
k-Nearest Neighbors,10,0.7184,1.0009,0.1883,0.7847,12684
k-Nearest Neighbors,15,0.7496,0.8511,0.1690,0.8248,12684
k-Nearest Neighbors,20,0.7718,0.8168,0.1543,0.8531,11720
k-Nearest Neighbors,25,0.7567,0.8970,0.1667,0.8305,7858
k-Nearest Neighbors,30,0.7586,0.8973,0.1641,0.8344,2386
Multi-Layer Perceptron,3,0.6116,0.6632,0.2352,0.6387,12684
Multi-Layer Perceptron,5,0.6293,0.6445,0.2264,0.6777,12684
Multi-Layer Perceptron,10,0.6889,0.5947,0.2039,0.7477,12684
Multi-Layer Perceptron,15,0.7126,0.5659,0.1914,0.7800,12684
Multi-Layer Perceptron,20,0.7376,0.5369,0.1786,0.8075,11720
Multi-Layer Perceptron,25,0.7307,0.5568,0.1867,0.7908,7858
Multi-Layer Perceptron,30,0.6949,0.5575,0.1884,0.7772,2386
