round_num,n_samples,accuracy,calibration_accuracy,roc_auc,log_loss,brier_score,avg_confidence,model,dataset
1,624,0.6121794871794872,0.6114649681528662,0.6217537804076265,0.6690686747301972,0.23798629340502778,0.5058801028677745,logistic_regression,esta
2,624,0.6490384615384616,0.6495176848874598,0.6590853057199212,0.6530861263383374,0.23010715502836349,0.4933792957835216,logistic_regression,esta
3,624,0.655448717948718,0.6559485530546624,0.6929137902695596,0.6453341724064472,0.22573854109212532,0.49869778189819797,logistic_regression,esta
4,624,0.6762820512820513,0.6797385620915033,0.7186164529914529,0.6273331441323958,0.21674647774465705,0.49434704859131967,logistic_regression,esta
5,624,0.6939102564102564,0.6932907348242812,0.7391929651545036,0.6140276803451553,0.20962425963165293,0.4968995454498231,logistic_regression,esta
6,622,0.6832797427652733,0.6826923076923077,0.7575190496376175,0.59618097720463,0.2023557584148336,0.4973113408079185,logistic_regression,esta
7,620,0.6870967741935484,0.6870967741935484,0.7689073881373569,0.5846781425472363,0.1984669490446233,0.4968733121798532,logistic_regression,esta
8,620,0.7193548387096774,0.7193548387096774,0.7892091571279917,0.5584747496785342,0.18875975766678477,0.4975360735720046,logistic_regression,esta
9,620,0.7370967741935484,0.7378640776699029,0.8123933402705517,0.5340679404239905,0.17728234747855207,0.49668906928104056,logistic_regression,esta
10,620,0.7258064516129032,0.7258064516129032,0.8136108220603537,0.5354365809772098,0.17824400340898464,0.4975252760055221,logistic_regression,esta
11,620,0.7306451612903225,0.729903536977492,0.8320187304890738,0.5051093931117774,0.1680258849697404,0.49723135210352876,logistic_regression,esta
12,620,0.7693548387096775,0.7684887459807074,0.8439958376690947,0.4922169501574246,0.16183935217986387,0.49814801991668023,logistic_regression,esta
13,620,0.7951612903225806,0.7961165048543689,0.8660457856399585,0.4594256759733262,0.14820954836712597,0.49805734664888585,logistic_regression,esta
14,620,0.7548387096774194,0.7548387096774194,0.8593340270551509,0.4682092015725745,0.1515571453439891,0.49804347234556723,logistic_regression,esta
15,620,0.782258064516129,0.7850162866449512,0.8578980228928199,0.4698178909373958,0.15359852379460867,0.4944515508782295,logistic_regression,esta
16,620,0.7870967741935484,0.7763975155279503,0.8663267429760666,0.45721729029199953,0.14971665940242435,0.5118259491534957,logistic_regression,esta
17,620,0.7903225806451613,0.7866242038216561,0.8824245577523413,0.428184844433664,0.14108041142037056,0.5060185725412991,logistic_regression,esta
18,618,0.7783171521035599,0.7704402515723271,0.8806568846157874,0.4309505936048509,0.14279275982426548,0.5080219586139726,logistic_regression,esta
19,602,0.7973421926910299,0.7934426229508197,0.8861491595015508,0.4213901335078499,0.13949476261716087,0.5061006906389581,logistic_regression,esta
