model,train_matches,test_matches,accuracy,log_loss,brier_score,roc_auc,dataset
transformer,1245,312,0.9552,0.0627463180574239,0.0222952155881045,0.9964467109035798,esta
transformer,25368,6342,0.8468148848943551,0.3948153415300299,0.1181022435128229,0.8869014178775029,kaggle
transformer,26613,6654,0.8536108814909447,0.381273233027558,0.1140491917245764,0.8954256360796621,combined
transformer,25368,6342,0.8462630085146642,0.3946392393502247,0.1181556961322817,0.8867653072661311,kaggle
transformer,1246,312,0.9727564102564102,0.0616215687594867,0.016142209880647,0.9974215154503616,esta
transformer,26614,6654,0.8441538923955515,0.401521030010024,0.1200603470129642,0.8878572398467819,combined
transformer,1246,312,0.9743589743589745,0.0542662903801106,0.0170410424045551,0.9985001643655488,esta
transformer,25368,6342,0.8466572059287291,0.3947640551460271,0.1181171258383576,0.8872945586286793,kaggle
transformer,26614,6654,0.8456567478208596,0.3916773530927935,0.1180679871276558,0.8899005834259123,combined
transformer,1246,312,0.9775641025641024,0.043930127344924,0.0133935697003728,0.9989213510848128,esta
transformer,25368,6342,0.8468148848943551,0.4000549794515063,0.1194896380376289,0.8870003836805105,kaggle
transformer,26614,6654,0.8458821761346559,0.39543840010842696,0.11855449352107982,0.8878041068833309,combined
